abbv,term
uvc,universal virtual computer
uwp,universal windows platform
ux,user experience
var,variable
volte,voice over long term evolution
vax,virtual address extension
vcpi,virtual control program interface
vb,visual basic
vba,visual basic for applications
vbs,visual basic script
vdi,virtual desktop infrastructure
vdu,visual display unit
vdm,virtual dos machine
vdsl,very high bitrate digital subscriber line
vesa,video electronics standards association
vfat,virtual fat
vhd,virtual hard disk
vfs,virtual file system
vg,volume group
vga,video graphics array
vhf,very high frequency
virus,vital information resource under seize
vlan,virtual local area network
vlsm,variable-length subnet masking
vlb,vesa local bus
vlf,very low frequency
vliw,very long instruction word
vlsi,very-large-scale integration
vm,virtual memory
vmm,virtual machine monitor
vnc,virtual network computing
vod,video on demand
voip,voice over internet protocol
vpn,virtual private network
vps,virtual private server
vpu,visual processing unit
vr,virtual reality
vrml,virtual reality modeling language
vsam,virtual storage-access method
vsat,very small aperture terminal
vt,video terminal
vtl,virtual tape library
vtam,virtual telecommunications access method
vram,video random-access memory
w3c,world wide web consortium
wwdc,apple world wide developer conference
wafs,wide area file services
wai,web accessibility initiative
wais,wide area information server
wan,wide area network
wap,wireless application protocol
wasm,watcom assembler
wbem,web-based enterprise management
wcag,web content accessibility guidelines
wcf,windows communication foundation
wdm,wavelength-division multiplexing
webdav,www distributed authoring and versioning
wep,wired equivalent privacy
wfi,wait for interrupt
wimax,worldwide interoperability for microwave access
winfs,windows future storage
winrt,windows runtime
wins,windows internet name service
wlan,wireless local area network
wma,windows media audio
wmi,windows management instrumentation
wmv,windows media video
wns,windows push notification service
wol,wake-on-lan
wor,wake-on-ring
wora,"write once, run anywhere"
wore,"write once, run everywhere"
worm,write once read many
wpa,wi-fi protected access
wpad,web proxy autodiscovery protocol
wpan,wireless personal area network
wpf,windows presentation foundation
ws-d,web services-discovery
wsdl,web services description language
wsfl,web services flow language
wusb,wireless universal serial bus
wwan,wireless wide area network
wwid,world wide identifier
wwn,world wide name
www,world wide web
wysiwyg,what you see is what you get
wzc,wireless zero configuration
xaml,extensible application markup language
xdm,x window display manager
xdmcp,x display manager control protocol
xcbl,xml common business library
xhtml,extensible hypertext markup language
xilp,x interactive listproc
xml,extensible markup language
xmms,x multimedia system
xmpp,extensible messaging and presence protocol
xms,extended memory specification
xns,xerox network systems
xp,extreme programming
xpcom,cross platform component object model
xpi,xpinstall
xpidl,cross-platform idl
xps,xml paper specification
xsd,xml schema definition
xsl,extensible stylesheet language
xsl-fo,extensible stylesheet language formatting objects
xslt,extensible stylesheet language transformations
xss,cross-site scripting
xtf,extended triton format
xul,xml user interface language
xvga,extended video graphics adapter
y2k,year two thousand
y2k38,year two thousand thirty eight
yaaf,yet another application framework
yacc,yet another compiler compiler
yagni,you aren't gonna need it
yaml,yaml ain't markup language
yarn,yet another resource negotiator
yast,yet another setup tool
zcav,zone constant angular velocity
zcs,zero code suppression
zif,zero insertion force
zifs,zero insertion force socket
zip,zip file archive
zisc,zero instruction set computer
zoi,zero one infinity
zope,z object publishing environment
zma,zone multicast address
zpl,z-level programming language
1-bit sgd,1-bit stochastic gradient descent
bleu,bilingual evaluation understudy
bpmf,bayesian probabilistic matrix factorization
bptt,back-propagation through time
cbow,continuous-bag-of-words
cmms,conditional markov models
cnn,convolutional neural network
crfs,conditional random fields
ctc,connectionist temporal classification
ctr,collaborative topic regression
dcgan,deep convolutional generative adversarial network
de,differential evolution
elu,exponential linear unit
em,expectation-maximization
f1 score,harmonic precision-recall mean
fft,fast fourier transform
fst,finite-state transducer
gam,generalized additive model
gan,generative adversarial network
gap,global average pooling
gmm,gaussian mixture model
hdp,hierarchical dirichlet process
hmms,hidden markov models
kl,kullback-leibler  divergence
lda,linear discriminant analysis
ldade,latent dirichlet allocation differential evolution
lsa,latent semantic analysis
lstm,long short-term memory
map,maximum a posteriori  estimation
mcmc,markov chain monte carlo
mdl,minimum description length  principle
mle,maximum likelihood estimation
mrr,mean reciprocal rank
ner,named entity recognition
nerq,named entity recognition in query
nfl,no free lunch  theorem
ntm,neural turing machine
paco,poisson additive co-clustering
pca,principal component analysis
plsi,probabilistic latent semantic indexing
pmf,probabilistic matrix factorization
pmi,pointwise mutual information
pos,part-of-speech  tagging
ppmi,positive pointwise mutual information
pytm,pitman-yor topic modeling
rl,reinforcement learning
rlfm,regression based latent factors
roc,receiver operating characteristic
relu,rectified linear unit
sbm,stochastic block model
sbo,structured bayesian optimization
sbse,search-based software engineering
sch,stochastic convex hull
sgd,stochastic gradient descent
sgvb,stochastic gradient variational bayes
smbo,sequential model-based optimization
ssvm,smooth support vector machine
svm,support vector machine
tgan,temporal generative adversarial network
trpo,trust region policy optimization
vae,variational autoencoder
vq-vae,vector-quantized variational autoencoders
wfst,weighted finite-state transducer
audio,bit transparency
hlda,hierarchical latent dirichlet allocation
i.i.d,independent and identically distributed
intersection over union,jaccard index
seq2seq,sequence to sequence
amt,automatic music transcription
bilstm,bidirectional long short-term memory
cdbn,convolutional deep belief networks
cec,constant error carousel
clnn,conditional neural networks
convnet,convolutional neural network
dae,denoising autoencoder or deep autoencoder
dbn,deep belief network
deconvnet,deconvolutional neural network
dnn,deep neural network
dwt,discrete wavelet transform
fc,fully connected
fcn,fully convolutional network
fc-lstm,fully connected long short-term memory
gbrcn,gradient-boosting random convolutional network
gfnn,gradient frequency neural networks
glcm,gray level co-occurrence matrix
han,hierarchical attention network
hhds,hiphop dataset
mclnn,masked conditional neural networks
mer,music emotion recognition
mlm,music language models
mlp,multi-layer perceptron
mrs,music recommender system
msdae,modified sparse denoising autoencoder
mse,mean squared error
msr,music style recognition
nn,neural network
nnmodff,neural network based multi-onset detection function fusion
odf,onset detection function
pnn,probabilistic neural network
poc,proof of concept
prelu,parametric rectified linear unit
ransac,random sample consensus
rnn,recurrent neural network
rtrl,real-time recurrent learning
sae,stacked ae
sdae,stacked dae
svs,singing voice separation
vad,voice activity detection
vpnn,vector product neural network
wpe,weighted prediction error
ann,neural networks
lstm,long short term memory
